Categoria,Série,Data de Início,Hora de Início,Data Final,Hora de Término,Valor,Unidade de Medida
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,1 dez 2023,00:00,1 dez 2023,23:59,78.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,2 dez 2023,00:00,2 dez 2023,23:59,80.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,3 dez 2023,00:00,3 dez 2023,23:59,79.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,4 dez 2023,00:00,4 dez 2023,23:59,79.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,5 dez 2023,00:00,5 dez 2023,23:59,79.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,6 dez 2023,00:00,6 dez 2023,23:59,30.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,8 dez 2023,00:00,8 dez 2023,23:59,79.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,9 dez 2023,00:00,9 dez 2023,23:59,79.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,10 dez 2023,00:00,10 dez 2023,23:59,81.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,11 dez 2023,00:00,11 dez 2023,23:59,83.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,12 dez 2023,00:00,12 dez 2023,23:59,82.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,13 dez 2023,00:00,13 dez 2023,23:59,82.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,14 dez 2023,00:00,14 dez 2023,23:59,31.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,15 dez 2023,00:00,15 dez 2023,23:59,37.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,16 dez 2023,00:00,16 dez 2023,23:59,80.5,C
